abstract_id,question,entity,type,umls_id
1,List signaling molecules (ligands) that interact with the receptor EGFR?,epigen,Gene,N/A
1,List signaling molecules (ligands) that interact with the receptor EGFR?,EREG,Gene,N/A
1,List signaling molecules (ligands) that interact with the receptor EGFR?,Epidermal growth factor,Gene,N/A
1,List signaling molecules (ligands) that interact with the receptor EGFR?,EGF receptor,Gene,N/A
1,List signaling molecules (ligands) that interact with the receptor EGFR?,neuregulin 2,Gene,N/A
1,List signaling molecules (ligands) that interact with the receptor EGFR?,heparin-binding epidermal growth factor-like growth factor,Gene,N/A
2,Is the protein Papilin secreted?,protocadherin,Gene,N/A
2,Is the protein Papilin secreted?,mig-6/papilin,Gene,N/A
2,Is the protein Papilin secreted?,mig-6,Gene,N/A
2,Is the protein Papilin secreted?,DTC,Cancer,N/A
2,Is the protein Papilin secreted?,MIG-6,Gene,N/A
2,Is the protein Papilin secreted?,TSR,Gene,N/A
2,Is the protein Papilin secreted?,F-spondin,Gene,N/A
2,Is the protein Papilin secreted?,UNC-5,Gene,N/A
2,Is the protein Papilin secreted?,ADAMTS,Gene,N/A
2,Is the protein Papilin secreted?,papilin,Gene,N/A
2,Is the protein Papilin secreted?,TRAP,Gene,N/A
2,Is the protein Papilin secreted?,Papilin,Gene,N/A
2,Is the protein Papilin secreted?,Collagen,Gene,N/A
2,Is the protein Papilin secreted?,laminin,Gene,N/A
4,Is RANKL secreted from the cells?,tumor necrosis,Disease,C0333516
4,Is RANKL secreted from the cells?,bone destruction,Disease,C0238790
4,Is RANKL secreted from the cells?,autoimmune arthritis,Disease,C3160909
4,Is RANKL secreted from the cells?,osteoarthritis,Disease,C0029408
4,Is RANKL secreted from the cells?,Osteoprotegerin,Gene,N/A
4,Is RANKL secreted from the cells?,OPG,Gene,N/A
4,Is RANKL secreted from the cells?,RANKL,Gene,N/A
4,Is RANKL secreted from the cells?,tumor necrosis factor receptor,Gene,N/A
4,Is RANKL secreted from the cells?,RANKL/OPG,Gene,N/A
4,Is RANKL secreted from the cells?,RANK,Gene,N/A
4,Is RANKL secreted from the cells?,Receptor Activator,Gene,N/A
4,Is RANKL secreted from the cells?,TNFSF11,Gene,N/A
4,Is RANKL secreted from the cells?,osteoprotegerin,Gene,N/A
4,Is RANKL secreted from the cells?,IL-17,Gene,N/A
4,Is RANKL secreted from the cells?,IL-17 receptor,Gene,N/A
4,Is RANKL secreted from the cells?,receptor activator of nuclear factor κB,Gene,N/A
5,Does metformin interfere thyroxine absorption?,TSH,Gene,N/A
6,Which miRNAs could be used as potential biomarkers for epithelial ovarian cancer?,aggressive tumor,Disease,C4518570
6,Which miRNAs could be used as potential biomarkers for epithelial ovarian cancer?,epithelial ovarian cysts,Disease,C0014511
6,Which miRNAs could be used as potential biomarkers for epithelial ovarian cancer?,ovarian cancer,Disease,C0919267
6,Which miRNAs could be used as potential biomarkers for epithelial ovarian cancer?,OSC,Disease,C1150380
6,Which miRNAs could be used as potential biomarkers for epithelial ovarian cancer?,epithelial ovarian cancer,Disease,C0677886
6,Which miRNAs could be used as potential biomarkers for epithelial ovarian cancer?,tumor,Disease,C0027651
6,Which miRNAs could be used as potential biomarkers for epithelial ovarian cancer?,serous ovarian cancer,Disease,C0919267
6,Which miRNAs could be used as potential biomarkers for epithelial ovarian cancer?,ovarian             cancer  The study suggests that the beneficial impact of the addition of,Disease,N/A
6,Which miRNAs could be used as potential biomarkers for epithelial ovarian cancer?,miR-200c,Gene,N/A
6,Which miRNAs could be used as potential biomarkers for epithelial ovarian cancer?,miR-200,Gene,N/A
6,Which miRNAs could be used as potential biomarkers for epithelial ovarian cancer?,miR-100,Cancer,N/A
6,Which miRNAs could be used as potential biomarkers for epithelial ovarian cancer?,miR-203,Gene,N/A
6,Which miRNAs could be used as potential biomarkers for epithelial ovarian cancer?,EOC,Cancer,N/A
6,Which miRNAs could be used as potential biomarkers for epithelial ovarian cancer?,tumor,Cancer,N/A
6,Which miRNAs could be used as potential biomarkers for epithelial ovarian cancer?,EOC patients,Cancer,N/A
6,Which miRNAs could be used as potential biomarkers for epithelial ovarian cancer?,malignancies,Cancer,N/A
6,Which miRNAs could be used as potential biomarkers for epithelial ovarian cancer?,E-cadherin,Gene,N/A
6,Which miRNAs could be used as potential biomarkers for epithelial ovarian cancer?,benign epithelial ovarian cysts,Cancer,N/A
6,Which miRNAs could be used as potential biomarkers for epithelial ovarian cancer?,ovarian cancer,Cancer,N/A
6,Which miRNAs could be used as potential biomarkers for epithelial ovarian cancer?,miR-509-5p,Gene,N/A
6,Which miRNAs could be used as potential biomarkers for epithelial ovarian cancer?,FIGO,Cancer,N/A
6,Which miRNAs could be used as potential biomarkers for epithelial ovarian cancer?,OSC,Gene,N/A
6,Which miRNAs could be used as potential biomarkers for epithelial ovarian cancer?,miR-508-3p,Gene,N/A
6,Which miRNAs could be used as potential biomarkers for epithelial ovarian cancer?,miR-483,Gene,N/A
6,Which miRNAs could be used as potential biomarkers for epithelial ovarian cancer?,epithelial ovarian cancer,Cancer,N/A
6,Which miRNAs could be used as potential biomarkers for epithelial ovarian cancer?,EOC Serum,Cancer,N/A
6,Which miRNAs could be used as potential biomarkers for epithelial ovarian cancer?,miR-26a,Gene,N/A
6,Which miRNAs could be used as potential biomarkers for epithelial ovarian cancer?,let-7b,Gene,N/A
6,Which miRNAs could be used as potential biomarkers for epithelial ovarian cancer?,miR-145,Gene,N/A
6,Which miRNAs could be used as potential biomarkers for epithelial ovarian cancer?,serous ovarian cancer,Cancer,N/A
6,Which miRNAs could be used as potential biomarkers for epithelial ovarian cancer?,ovarian cancer patients,Cancer,N/A
6,Which miRNAs could be used as potential biomarkers for epithelial ovarian cancer?,miR-100,Gene,N/A
6,Which miRNAs could be used as potential biomarkers for epithelial ovarian cancer?,PLK1,Gene,N/A
6,Which miRNAs could be used as potential biomarkers for epithelial ovarian cancer?,miR-148a,Gene,N/A
6,Which miRNAs could be used as potential biomarkers for epithelial ovarian cancer?,ovarian,Cancer,N/A
6,Which miRNAs could be used as potential biomarkers for epithelial ovarian cancer?,cancer  ,Cancer,N/A
6,Which miRNAs could be used as potential biomarkers for epithelial ovarian cancer?,let-7a,Gene,N/A
6,Which miRNAs could be used as potential biomarkers for epithelial ovarian cancer?,let-7i,Gene,N/A
8,Has Denosumab (Prolia) been approved by FDA?,fractures,Disease,C0016658
8,Has Denosumab (Prolia) been approved by FDA?,tumors,Disease,C0027651
8,Has Denosumab (Prolia) been approved by FDA?,GCTB,Disease,N/A
8,Has Denosumab (Prolia) been approved by FDA?,osteoporosis,Disease,C0029456
8,Has Denosumab (Prolia) been approved by FDA?,fracture,Disease,C0016658
8,Has Denosumab (Prolia) been approved by FDA?,breast cancer,Disease,C0006142
8,Has Denosumab (Prolia) been approved by FDA?,bone cancer pain,Disease,C0279530
8,Has Denosumab (Prolia) been approved by FDA?,bone-metastatic prostate cancer,Disease,C0936223
8,Has Denosumab (Prolia) been approved by FDA?,skeletal complications,Disease,C0009566
8,Has Denosumab (Prolia) been approved by FDA?,tumor,Disease,C0027651
8,Has Denosumab (Prolia) been approved by FDA?,CRPC,Disease,N/A
8,Has Denosumab (Prolia) been approved by FDA?,RANK-ligand,Gene,N/A
8,Has Denosumab (Prolia) been approved by FDA?,solid tumors,Cancer,N/A
8,Has Denosumab (Prolia) been approved by FDA?,GCTB,Cancer,N/A
8,Has Denosumab (Prolia) been approved by FDA?,RANKL,Gene,N/A
8,Has Denosumab (Prolia) been approved by FDA?,SREs,Gene,N/A
8,Has Denosumab (Prolia) been approved by FDA?,breast cancer,Cancer,N/A
8,Has Denosumab (Prolia) been approved by FDA?,bone cancer,Cancer,N/A
8,Has Denosumab (Prolia) been approved by FDA?,parathyroid hormone,Gene,N/A
8,Has Denosumab (Prolia) been approved by FDA?,calcitonin,Gene,N/A
8,Has Denosumab (Prolia) been approved by FDA?,postmenopausal women,Cancer,N/A
8,Has Denosumab (Prolia) been approved by FDA?,estrogen receptor,Gene,N/A
8,Has Denosumab (Prolia) been approved by FDA?,microtubule,Gene,N/A
8,Has Denosumab (Prolia) been approved by FDA?,EMA,Gene,N/A
8,Has Denosumab (Prolia) been approved by FDA?,bone-metastatic prostate cancer,Cancer,N/A
8,Has Denosumab (Prolia) been approved by FDA?,solid tumor malignancies,Cancer,N/A
8,Has Denosumab (Prolia) been approved by FDA?,antibody-drug conjugate,Gene,N/A
8,Has Denosumab (Prolia) been approved by FDA?,CRPC,Cancer,N/A
8,Has Denosumab (Prolia) been approved by FDA?,Prolia(®),Gene,N/A
9,List the human genes encoding for the dishevelled proteins?,PCP,Disease,C0030855
9,List the human genes encoding for the dishevelled proteins?,craniorachischisis,Disease,C0152426
9,List the human genes encoding for the dishevelled proteins?,HSCR,Disease,C0019569
9,List the human genes encoding for the dishevelled proteins?,Dishevelled,Gene,N/A
9,List the human genes encoding for the dishevelled proteins?,Dvl/Dsh,Gene,N/A
9,List the human genes encoding for the dishevelled proteins?,Wnt,Gene,N/A
9,List the human genes encoding for the dishevelled proteins?,NTDs,Cancer,N/A
9,List the human genes encoding for the dishevelled proteins?,HSCR,Cancer,N/A
9,List the human genes encoding for the dishevelled proteins?,DVL-1,Gene,N/A
9,List the human genes encoding for the dishevelled proteins?,DVL-3,Gene,N/A
9,List the human genes encoding for the dishevelled proteins?,HSCR patients,Cancer,N/A
9,List the human genes encoding for the dishevelled proteins?,Dvl,Gene,N/A
9,List the human genes encoding for the dishevelled proteins?,dsh,Gene,N/A
9,List the human genes encoding for the dishevelled proteins?,Wnt-1,Gene,N/A
9,List the human genes encoding for the dishevelled proteins?,695-amino-acid,Gene,N/A
9,List the human genes encoding for the dishevelled proteins?,Dvl-1,Gene,N/A
9,List the human genes encoding for the dishevelled proteins?,Dishevelled-2,Gene,N/A
9,List the human genes encoding for the dishevelled proteins?,DVL1,Gene,N/A
9,List the human genes encoding for the dishevelled proteins?,Wnt/beta-catenin,Gene,N/A
10,Name synonym of Acrokeratosis paraneoplastica.,Acrokeratosis paraneoplastica,Disease,C0346104
10,Name synonym of Acrokeratosis paraneoplastica.,Bazex,Disease,N/A
10,Name synonym of Acrokeratosis paraneoplastica.,paraneoplastic dermatosis,Disease,N/A
10,Name synonym of Acrokeratosis paraneoplastica.,psoriasiform rashes,Disease,C4476830
10,Name synonym of Acrokeratosis paraneoplastica.,Acrokeratosis paraneoplastica Bazex,Disease,C0406355
10,Name synonym of Acrokeratosis paraneoplastica.,paraneoplasia,Disease,C0027651
10,Name synonym of Acrokeratosis paraneoplastica.,palmoplantar hyperkeratosis,Disease,C0022596
10,Name synonym of Acrokeratosis paraneoplastica.,acrokeratosis paraneoplastica Bazex,Disease,C0406355
10,Name synonym of Acrokeratosis paraneoplastica.,Acrokeratosis paraneoplastic,Disease,C0346104
10,Name synonym of Acrokeratosis paraneoplastica.,Bazex syndrome,Disease,C0039082
10,Name synonym of Acrokeratosis paraneoplastica.,carcinomas,Disease,C0007097
10,Name synonym of Acrokeratosis paraneoplastica.,paraneoplastic dermatoses,Disease,N/A
10,Name synonym of Acrokeratosis paraneoplastica.,squamous cell carcinoma of the upper aerodigestive tract,Disease,C0280305
10,Name synonym of Acrokeratosis paraneoplastica.,lymphadenopathy,Disease,C0497156
10,Name synonym of Acrokeratosis paraneoplastica.,acrokeratosis paraneoplastica,Disease,C0346104
10,Name synonym of Acrokeratosis paraneoplastica.,primary squamous cell carcinoma of the left upper lobe and upon,Disease,C0280305
10,Name synonym of Acrokeratosis paraneoplastica.,paraneoplastic syndrome,Disease,C0030472
10,Name synonym of Acrokeratosis paraneoplastica.,tumor,Disease,C0027651
10,Name synonym of Acrokeratosis paraneoplastica.,dermatosis,Disease,C0037274
10,Name synonym of Acrokeratosis paraneoplastica.,primary malignant neoplasm of the upper aerodigestive tract,Disease,N/A
10,Name synonym of Acrokeratosis paraneoplastica.,cancer,Disease,C0006826
10,Name synonym of Acrokeratosis paraneoplastica.,squamous cell carcinoma of the tonsil.,Disease,C0280317
10,Name synonym of Acrokeratosis paraneoplastica.,adenopathy,Disease,C0497156
10,Name synonym of Acrokeratosis paraneoplastica.,neoplasms,Disease,C0027651
10,Name synonym of Acrokeratosis paraneoplastica.,Bazex,Cancer,N/A
10,Name synonym of Acrokeratosis paraneoplastica.,carcinomas,Cancer,N/A
10,Name synonym of Acrokeratosis paraneoplastica.,APB,Cancer,N/A
10,Name synonym of Acrokeratosis paraneoplastica.,squamous cell carcinoma,Cancer,N/A
10,Name synonym of Acrokeratosis paraneoplastica.,cervical lymphadenopathy,Cancer,N/A
10,Name synonym of Acrokeratosis paraneoplastica.,Gougerot,Cancer,N/A
10,Name synonym of Acrokeratosis paraneoplastica.,Bull Soc Fr,Cancer,N/A
10,Name synonym of Acrokeratosis paraneoplastica.,tumor,Cancer,N/A
10,Name synonym of Acrokeratosis paraneoplastica.,malignant neoplasm,Cancer,N/A
10,Name synonym of Acrokeratosis paraneoplastica.,cancer,Cancer,N/A
10,Name synonym of Acrokeratosis paraneoplastica.,neoplasms,Cancer,N/A
11,Which are the classes of anti-arrhythmic drugs according to Vaughan-Williams classification?,Class II,Disease,C0441886
11,Which are the classes of anti-arrhythmic drugs according to Vaughan-Williams classification?,sodium-channel blockade,Disease,C0872271
11,Which are the classes of anti-arrhythmic drugs according to Vaughan-Williams classification?,Class-III,Disease,N/A
11,Which are the classes of anti-arrhythmic drugs according to Vaughan-Williams classification?,potassium-channel blockade,Disease,C0872245
11,Which are the classes of anti-arrhythmic drugs according to Vaughan-Williams classification?,Class II,Gene,N/A
11,Which are the classes of anti-arrhythmic drugs according to Vaughan-Williams classification?,Class III,Gene,N/A
11,Which are the classes of anti-arrhythmic drugs according to Vaughan-Williams classification?,Class IV,Gene,N/A
11,Which are the classes of anti-arrhythmic drugs according to Vaughan-Williams classification?,class-I,Gene,N/A
11,Which are the classes of anti-arrhythmic drugs according to Vaughan-Williams classification?,Class I,Gene,N/A
11,Which are the classes of anti-arrhythmic drugs according to Vaughan-Williams classification?,class I A-C,Gene,N/A
11,Which are the classes of anti-arrhythmic drugs according to Vaughan-Williams classification?,class II,Gene,N/A
11,Which are the classes of anti-arrhythmic drugs according to Vaughan-Williams classification?,class IV,Gene,N/A
12,Which are the different isoforms of the mammalian Notch receptor?,elevated NOTCH3,Disease,C0205250
12,Which are the different isoforms of the mammalian Notch receptor?,CADASIL,Disease,C0751587
12,Which are the different isoforms of the mammalian Notch receptor?,hepatoblastomas,Disease,C0206624
12,Which are the different isoforms of the mammalian Notch receptor?,NOTCH3,Gene,N/A
12,Which are the different isoforms of the mammalian Notch receptor?,vascular Notch,Gene,N/A
12,Which are the different isoforms of the mammalian Notch receptor?,smooth muscle,Cancer,N/A
12,Which are the different isoforms of the mammalian Notch receptor?,NOTCH1,Gene,N/A
12,Which are the different isoforms of the mammalian Notch receptor?,NOTCH4,Gene,N/A
12,Which are the different isoforms of the mammalian Notch receptor?,CADASIL,Gene,N/A
12,Which are the different isoforms of the mammalian Notch receptor?,Notch1-3,Gene,N/A
12,Which are the different isoforms of the mammalian Notch receptor?,Notch1,Gene,N/A
12,Which are the different isoforms of the mammalian Notch receptor?,Notch2,Gene,N/A
12,Which are the different isoforms of the mammalian Notch receptor?,Notch,Gene,N/A
12,Which are the different isoforms of the mammalian Notch receptor?,Notch1-4,Gene,N/A
12,Which are the different isoforms of the mammalian Notch receptor?,Delta1,Gene,N/A
12,Which are the different isoforms of the mammalian Notch receptor?,Jagged1,Gene,N/A
12,Which are the different isoforms of the mammalian Notch receptor?,Notch-1,Gene,N/A
12,Which are the different isoforms of the mammalian Notch receptor?,Notch-3,Gene,N/A
12,Which are the different isoforms of the mammalian Notch receptor?,NOTCH2,Gene,N/A
12,Which are the different isoforms of the mammalian Notch receptor?,JAGGED1,Gene,N/A
12,Which are the different isoforms of the mammalian Notch receptor?,hepatoblastomas,Cancer,N/A
13,Which are the major characteristics of cellular senescence?,telomerase,Gene,N/A
13,Which are the major characteristics of cellular senescence?,Sod1,Gene,N/A
13,Which are the major characteristics of cellular senescence?,Gpx1,Gene,N/A
14,Orteronel was developed for treatment of which cancer?,death,Disease,C0011065
14,Orteronel was developed for treatment of which cancer?,castration-resistant prostate cancer,Disease,C1328504
14,Orteronel was developed for treatment of which cancer?,chemotherapy-naive,Disease,C0013216
14,Orteronel was developed for treatment of which cancer?,prostate cancer,Disease,C0376358
14,Orteronel was developed for treatment of which cancer?,CRPC,Disease,N/A
14,Orteronel was developed for treatment of which cancer?,prostate cancer tumor,Disease,C0376358
14,Orteronel was developed for treatment of which cancer?,"CYP 17,20-lyase",Gene,N/A
14,Orteronel was developed for treatment of which cancer?,androgen,Gene,N/A
14,Orteronel was developed for treatment of which cancer?,castration-resistant prostate cancer,Cancer,N/A
14,Orteronel was developed for treatment of which cancer?,metastatic castration-resistant prostate cancer,Cancer,N/A
14,Orteronel was developed for treatment of which cancer?,PSA50,Gene,N/A
14,Orteronel was developed for treatment of which cancer?,antitumor,Cancer,N/A
14,Orteronel was developed for treatment of which cancer?,CRPC,Cancer,N/A
14,Orteronel was developed for treatment of which cancer?,BID,Gene,N/A
14,Orteronel was developed for treatment of which cancer?,CRPC patients,Cancer,N/A
14,Orteronel was developed for treatment of which cancer?,prostate cancer,Cancer,N/A
14,Orteronel was developed for treatment of which cancer?,"17,20-lyase",Gene,N/A
14,Orteronel was developed for treatment of which cancer?,prostate-specific antigen,Gene,N/A
14,Orteronel was developed for treatment of which cancer?,prostate cancer tumor,Cancer,N/A
15,Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?,Her2-overexpressing breast cancer,Disease,N/A
15,Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?,prostate cancer,Disease,C0376358
15,Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?,DU145,Disease,N/A
15,Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?,androgen-independent prostate cancer,Disease,C3658267
15,Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?,primary tumors,Disease,C0677930
15,Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?,hormone-refractory prostate cancer,Disease,C1328504
15,Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?,prostate cancers,Disease,C0376358
15,Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?,HER-2,Disease,C0069515
15,Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?,aggressive disease,Disease,C1335499
15,Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?,tumour,Disease,C0027651
15,Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?,prostate,Disease,C0033572
15,Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?,Tumor,Disease,C0027651
15,Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?,prostate carcinomas,Disease,C0600139
15,Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?,tumors,Disease,C0027651
15,Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?,micrometastatic disease,Disease,C0027627
15,Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?,HRPC,Disease,C1328504
15,Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?,toxicity,Disease,C0040539
15,Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?,tumours,Disease,C0027651
15,Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?,hormone-refractory prostate carcinoma,Disease,C5238404
15,Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?,breast carcinoma,Disease,C0678222
15,Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?,hormone-refractory disease,Disease,C1514815
15,Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?,tumor,Disease,C0027651
15,Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?,prostate carcinoma,Disease,C0600139
15,Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?,cancers,Disease,C0006826
15,Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?,breast and prostate cancer,Disease,C0376358
15,Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?,Her2-overexpressing breast cancer,Cancer,N/A
15,Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?,prostate cancer,Cancer,N/A
15,Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?,Her2,Gene,N/A
15,Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?,androgen-independent prostate cancer,Cancer,N/A
15,Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?,epidermal growth factor receptor,Gene,N/A
15,Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?,EGFR,Gene,N/A
15,Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?,extra-cellular domain receptor binding agents,Gene,N/A
15,Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?,HER2,Gene,N/A
15,Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?,HER3,Gene,N/A
15,Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?,prostate cancer lymph node,Cancer,N/A
15,Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?,tumors,Cancer,N/A
15,Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?,antitumor,Cancer,N/A
15,Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?,ErbB2,Gene,N/A
15,Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?,androgen-dependent,Gene,N/A
15,Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?,212Pb-trastuzumab,Cancer,N/A
15,Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?,HER2-expressing PC xenografts,Cancer,N/A
15,Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?,EGFR/HER2,Gene,N/A
15,Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?,receptor tyrosine kinases epidermal growth factor receptor,Gene,N/A
15,Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?,prostate cancer cell-lines,Cancer,N/A
15,Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?,hormone-refractory prostate cancer,Cancer,N/A
15,Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?,heregulin,Gene,N/A
15,Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?,prostate cancers,Cancer,N/A
15,Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?,HER-2,Gene,N/A
15,Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?,ErbB-2,Gene,N/A
15,Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?,disease,Cancer,N/A
15,Is the monoclonal antibody Trastuzumab (Herceptin) of potential use in the treatment of prostate cancer?,breast,Cancer,N/A
